iter	Passed	Remaining
0	141	141260
1	142	71010
2	143	47573
3	144	35886
4	145	28874
5	146	24202
6	146	20842
7	147	18333
8	148	16398
9	150	14893
10	151	13637
11	153	12613
12	154	11721
13	155	10950
14	156	10292
15	157	9697
16	158	9169
17	159	8698
18	160	8277
19	161	7916
20	162	7588
21	163	7278
22	164	6996
23	165	6747
24	167	6528
25	168	6318
26	169	6118
27	170	5932
28	171	5755
29	173	5601
30	174	5443
31	175	5294
32	175	5156
33	177	5036
34	178	4925
35	180	4823
36	181	4725
37	182	4624
38	183	4526
39	184	4436
40	186	4351
41	187	4272
42	188	4193
43	189	4114
44	190	4041
45	191	3975
46	192	3906
47	193	3844
48	194	3780
49	195	3722
50	197	3672
51	198	3619
52	199	3563
53	200	3513
54	201	3462
55	202	3417
56	203	3374
57	204	3329
58	206	3286
59	206	3242
60	208	3203
61	209	3165
62	210	3129
63	211	3089
64	212	3051
65	213	3014
66	213	2979
67	215	2950
68	216	2919
69	217	2887
70	218	2856
71	219	2824
72	220	2794
73	221	2767
74	222	2743
75	223	2716
76	224	2689
77	225	2665
78	226	2640
79	227	2618
80	228	2595
81	229	2572
82	230	2545
83	231	2524
84	232	2505
85	234	2488
86	235	2469
87	236	2449
88	237	2428
89	238	2409
90	239	2391
91	240	2372
92	241	2354
93	242	2335
94	243	2317
95	244	2298
96	245	2282
97	246	2266
98	247	2251
99	248	2236
100	249	2221
101	250	2205
102	252	2196
103	253	2183
104	254	2167
105	255	2152
106	256	2138
107	257	2126
108	259	2117
109	260	2110
110	262	2102
111	264	2095
112	266	2089
113	267	2082
114	269	2071
115	270	2063
116	272	2052
117	273	2042
118	274	2031
119	275	2020
120	277	2013
121	278	2004
122	279	1993
123	280	1984
124	283	1982
125	284	1973
126	285	1963
127	286	1954
128	288	1948
129	289	1939
130	290	1930
131	292	1920
132	293	1911
133	295	1907
134	296	1900
135	297	1892
136	299	1883
137	301	1885
138	303	1880
139	304	1872
140	307	1870
141	308	1865
142	309	1857
143	311	1851
144	312	1844
145	313	1836
146	315	1829
147	316	1821
148	317	1815
149	318	1807
150	320	1800
151	321	1792
152	322	1785
153	323	1778
154	325	1775
155	327	1773
156	329	1768
157	347	1854
158	349	1846
159	350	1839
160	351	1830
161	352	1823
162	353	1816
163	354	1808
164	355	1801
165	357	1793
166	358	1787
167	359	1782
168	361	1776
169	362	1769
170	363	1763
171	365	1759
172	366	1754
173	368	1747
174	369	1740
175	370	1733
176	371	1727
177	372	1721
178	373	1715
179	375	1708
180	376	1702
181	377	1696
182	378	1690
183	380	1685
184	381	1679
185	382	1673
186	383	1668
187	385	1663
188	386	1659
189	387	1653
190	389	1649
191	390	1645
192	392	1640
193	393	1634
194	394	1628
195	395	1623
196	396	1618
197	398	1613
198	399	1608
199	400	1603
200	402	1600
201	404	1596
202	405	1591
203	406	1586
204	408	1582
205	409	1577
206	410	1573
207	412	1568
208	413	1563
209	414	1559
210	415	1554
211	417	1551
212	418	1546
213	419	1542
214	421	1537
215	422	1533
216	423	1528
217	424	1523
218	425	1519
219	427	1514
220	428	1510
221	429	1505
222	430	1500
223	432	1496
224	433	1493
225	434	1489
226	436	1485
227	437	1480
228	439	1478
229	440	1474
230	441	1469
